_id,city,date,ad_count,avg_age,email_count,phone_count
6221455240741654807e1a91,MISSOULA,2022-02-26,2,27.0,0,1
6221455240741654807e1a92,SIOUX FALLS,2022-03-01,1,31.0,0,1
6221455240741654807e1a93,GADSDEN,2022-03-02,7,25.714285714285715,0,7
6221455240741654807e1a94,BOZEMAN,2022-02-25,3,26.0,0,2
6221455240741654807e1a95,HATTIESBURG,2022-02-25,5,25.8,0,4
6221455240741654807e1a96,PARKERSBURG,2022-02-27,1,24.0,0,1
6221455240741654807e1a97,MOSES LAKE,2022-03-02,9,25.22222222222222,0,9
6221455240741654807e1a98,LASALLE,2022-02-27,19,28.736842105263158,0,15
6221455240741654807e1a99,ONEONTA,2022-02-26,7,26.0,0,6
6221455240741654807e1a9a,MONROE,2022-02-26,40,27.75,1,29
6221455240741654807e1a9b,AMARILLO,2022-02-28,57,26.07017543859649,0,41
6221455240741654807e1a9c,HOPKINSVILLE,2022-02-25,3,29.0,0,3
6221455240741654807e1a9d,ANNAPOLIS,2022-02-28,26,25.846153846153847,0,19
6221455240741654807e1a9e,LAS VEGAS,2022-02-28,1085,26.01290322580645,3,641
6221455240741654807e1a9f,MOSES LAKE,2022-02-25,16,25.4375,0,12
6221455240741654807e1aa0,SOUTH BEND,2022-02-27,36,25.38888888888889,0,28
6221455240741654807e1aa1,MENDOCINO,2022-02-25,17,27.058823529411764,0,14
6221455240741654807e1aa2,SUFFOLK,2022-03-01,14,27.142857142857142,0,11
6221455240741654807e1aa3,BILOXI,2022-02-28,28,28.035714285714285,0,20
6221455240741654807e1aa4,PALMDALE,2022-02-27,70,26.071428571428573,0,47
6221455240741654807e1aa5,EUGENE,2022-02-26,10,31.1,0,7
6221455240741654807e1aa6,ATLANTA,2022-02-28,1708,26.82903981264637,2,1087
6221455240741654807e1aa7,EAST STROUDSBURG,2022-02-26,22,26.363636363636363,0,18
6221455240741654807e1aa8,GREATER SUDBURY,2022-02-27,1,21.0,0,1
6221455240741654807e1aa9,WATERLOO,2022-02-28,4,26.5,0,4
6221455240741654807e1aaa,WESTERN MARYLAND,2022-03-01,8,25.75,0,7
6221455240741654807e1aab,PORTLAND,2022-03-02,140,27.685714285714287,1,134
6221455240741654807e1aac,COOKEVILLE,2022-03-02,27,25.88888888888889,0,27
6221455240741654807e1aad,HILO,2022-02-28,4,25.5,0,2
6221455240741654807e1aae,TERRE HAUTE,2022-03-02,4,25.25,0,4
6221455240741654807e1aaf,YORK,2022-03-02,15,25.6,0,15
6221455240741654807e1ab0,KEY WEST,2022-02-28,34,26.764705882352942,0,26
6221455240741654807e1ab1,TEXARKANA,2022-02-26,23,27.73913043478261,0,20
6221455240741654807e1ab2,ST. CLOUD,2022-02-26,16,26.125,0,13
6221455240741654807e1ab3,FLAGSTAFF,2022-02-27,8,25.0,0,7
6221455240741654807e1ab4,NASHVILLE,2022-03-01,349,27.74785100286533,1,227
6221455240741654807e1ab5,COLUMBIA,2022-03-02,190,28.178947368421053,0,176
6221455240741654807e1ab6,CARBONDALE,2022-02-28,11,30.181818181818183,0,8
6221455240741654807e1ab7,FLINT,2022-03-02,10,25.7,0,10
6221455240741654807e1ab8,SCRANTON,2022-03-01,24,25.916666666666668,0,22
6221455240741654807e1ab9,HARRISBURG,2022-02-25,55,26.12727272727273,0,45
6221455240741654807e1aba,INDIANAPOLIS,2022-02-27,329,27.58966565349544,1,207
6221455240741654807e1abb,OSHAWA,2022-03-02,6,28.166666666666668,0,6
6221455240741654807e1abc,CORVALLIS,2022-03-02,3,24.666666666666668,0,3
6221455240741654807e1abd,READING,2022-03-01,27,26.11111111111111,0,20
6221455240741654807e1abe,DOVER,2022-02-25,4,24.5,0,2
6221455240741654807e1abf,DECATUR,2022-02-26,12,27.25,0,10
6221455240741654807e1ac0,SCRANTON,2022-02-27,26,26.076923076923077,0,24
6221455240741654807e1ac1,KNOXVILLE,2022-03-02,55,26.10909090909091,0,53
6221455240741654807e1ac2,AUSTIN,2022-02-26,531,26.990583804143125,2,349
6221455240741654807e1ac3,ATHENS,2022-02-26,88,26.954545454545453,0,70
6221455240741654807e1ac4,BEMIDJI,2022-02-27,7,25.714285714285715,0,5
6221455240741654807e1ac5,PUEBLO,2022-02-25,24,29.583333333333332,0,17
6221455240741654807e1ac6,LIMA,2022-03-01,19,27.105263157894736,0,14
6221455240741654807e1ac7,WILLIAMSPORT,2022-03-02,13,26.076923076923077,0,13
6221455240741654807e1ac8,ST. CLOUD,2022-02-25,19,26.789473684210527,0,16
6221455240741654807e1ac9,FINGER LAKES,2022-02-25,5,25.8,0,5
6221455240741654807e1aca,BROCKTON,2022-02-26,13,28.846153846153847,0,11
6221455240741654807e1acb,FARGO,2022-02-26,3,27.333333333333332,0,2
6221455240741654807e1acc,FORT DODGE,2022-02-27,2,25.0,0,2
6221455240741654807e1acd,FRESNO,2022-03-02,206,26.52912621359223,0,186
6221455240741654807e1ace,LONG BEACH,2022-03-02,137,25.99270072992701,1,130
6221455240741654807e1acf,HUDSON VALLEY,2022-03-02,22,28.363636363636363,0,22
6221455240741654807e1ad0,THUNDER BAY,2022-03-02,1,28.0,0,1
6221455240741654807e1ad1,FORT SMITH,2022-03-01,7,25.285714285714285,0,6
6221455240741654807e1ad2,BALTIMORE,2022-02-27,692,26.38005780346821,0,425
6221455240741654807e1ad3,FREDERICK,2022-02-25,22,26.272727272727273,0,17
6221455240741654807e1ad4,BARNSTABLE,2022-02-25,10,26.0,0,9
6221455240741654807e1ad5,BLOOMINGTON,2022-02-25,32,25.9375,0,24
6221455240741654807e1ad6,JACKSON,2022-02-26,93,26.408602150537636,1,59
6221455240741654807e1ad7,PROVO,2022-02-27,13,27.153846153846153,0,9
6221455240741654807e1ad8,LOUISVILLE,2022-02-25,313,29.64856230031949,0,198
6221455240741654807e1ad9,YREKA,2022-03-01,10,26.3,0,7
